egoid,majorevent_7
44869,no
43516,
89411,
74285,
56527,
16819,
34591,
89972,
92552,yes
73158,no
45963,no
22138,no
90136,
46744,
77941,no
44873,yes
36540,
83005,no
31439,no
21899,
29232,
32249,
45375,
25536,
32037,
46558,no
24016,
52277,
93699,yes
36875,no
84011,no
90646,yes
88008,no
88967,
46701,
83566,no
21090,no
69419,
87032,
94641,no
82728,
45076,no
58437,
94862,
14606,no
64075,
39787,
82376,
44872,no
87783,
47498,
57325,yes
53776,no
58633,
27306,yes
80607,
73143,
35797,
46365,yes
31045,
74492,no
76791,
21348,
23287,no
14763,
22066,
28247,no
72873,
67544,
76810,
51760,no
72806,no
98766,
60997,no
36038,no
39146,no
60963,
67918,no
34467,no
42132,
32668,
24079,
59673,no
74899,
48891,
81807,no
77187,
91176,no
35011,
60903,
35416,no
89710,no
97596,no
39129,yes
57359,no
17308,no
51851,
35855,
67334,no
60230,
77838,
57292,
66406,
56798,
23115,
77872,no
43114,
72348,no
45776,
63122,
27169,
89607,no
59900,no
28254,
56480,
11128,
47886,
28820,
35347,
45641,
64572,
31538,
73452,
51475,
28312,no
13486,no
56805,
57697,
54837,
29718,
26800,yes
60493,no
52051,
30972,
47142,
69217,
69009,
84390,yes
74845,no
90905,
39659,
60396,no
61084,
92412,no
92038,no
33388,
31717,
86440,no
95585,no
29792,no
14737,no
28223,no
55452,
20179,
23696,
28653,no
84715,
95559,no
30152,yes
68764,
60367,yes
36939,
59592,no
22897,no
89652,yes
28724,
92895,
69831,
59178,
50072,no
44927,no
71894,yes
76790,
66676,yes
95930,no
70962,no
12738,
27111,
30453,no
80177,
18677,no
66047,
58682,yes
79834,yes
93471,
19538,
38052,no
33133,
40021,
27141,
93858,
47810,no
58196,no
42773,
76663,
48224,
30137,no
68318,no
62246,no
61028,no
55424,no
17581,
23576,no
17522,no
97833,
93485,no
62617,no
42137,no
37305,
48013,no
44447,
14571,no
69057,no
66629,
83542,no
18222,no
39738,
26858,no
93504,
64232,no
37404,no
25961,
87330,
92028,
82248,no
28824,
11482,
69936,no
37001,
70492,no
95543,no
21380,no
67106,
25495,
26581,
66642,
83612,no
63954,
20665,
19122,
99978,yes
92566,no
39414,
35987,
66655,
10547,
46373,
79341,
19591,no
83536,
66682,
88337,
67608,yes
19735,
42513,
51952,
46266,
61289,
18743,
59207,no
48946,
86083,
96613,
49014,no
50766,no
71089,no
80980,
29115,
98462,yes
94455,
11148,
88384,
64302,no
22688,no
38815,no
34525,no
68404,no
71836,
12748,
33445,
83078,
72160,
55569,
72885,
36574,
71193,no
44070,
49010,
98760,
95374,no
71985,no
43125,no
98117,no
22989,
24883,no
20650,no
19460,
66815,no
89161,
54956,no
14847,no
85453,no
19827,
31121,no
38683,
82918,
43382,no
44344,yes
94215,no
80675,
57144,
94662,
98700,no
33341,
65072,no
37148,
11910,
75438,
99733,no
27407,yes
14250,
43794,no
73918,
60216,
28681,
51437,yes
21932,no
29733,no
98206,
36385,no
54030,no
67993,
96543,
49800,no
29296,
11002,
72850,
15134,no
69124,
34062,yes
18111,yes
