egoid,exercisealone_4,clubsports_4,exerciseothers_4,swimming_4
44869,1-2 times a month,Not at all,Not at all,Not at all
43516,,,,
89411,,,,
74285,,,,
56527,,,,
16819,,,,
34591,1-2 times a week,1-2 times a month,1-2 times a month,Less than 1-2 times a month
89972,,,,
92552,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
73158,1-2 times a month,Not at all,Three times a week or more,Not at all
45963,Not at all,1-2 times a week,1-2 times a week,Not at all
22138,Not at all,Not at all,Three times a week or more,Not at all
90136,,,,
46744,,,,
77941,Three times a week or more,Not at all,Three times a week or more,Not at all
44873,1-2 times a week,1-2 times a week,Three times a week or more,Not at all
36540,,,,
14527,,,,
83005,Three times a week or more,Not at all,Not at all,Not at all
31439,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all
21899,,,,
29232,,,,
32249,1-2 times a week,Not at all,Three times a week or more,Less than 1-2 times a month
45375,,,,
25536,,,,
32037,,,,
90476,,,,
46558,Less than 1-2 times a month,Not at all,Not at all,Not at all
24016,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
52277,,,,
93699,1-2 times a month,Not at all,1-2 times a week,Not at all
36875,1-2 times a week,Not at all,1-2 times a week,Not at all
84011,1-2 times a month,Three times a week or more,Three times a week or more,Three times a week or more
90646,1-2 times a week,Not at all,1-2 times a week,Not at all
88008,Three times a week or more,Three times a week or more,1-2 times a week,1-2 times a month
88967,,,,
46701,,,,
83566,1-2 times a month,Not at all,Not at all,Not at all
21090,Not at all,Not at all,Not at all,Not at all
69419,,,,
87032,Not at all,Not at all,Not at all,Not at all
94641,Not at all,Not at all,Not at all,Not at all
82728,Three times a week or more,Not at all,1-2 times a week,Not at all
45076,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
58437,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
94862,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
14606,1-2 times a week,Three times a week or more,1-2 times a month,Not at all
64075,1-2 times a week,1-2 times a week,Three times a week or more,Not at all
39787,Less than 1-2 times a month,Not at all,1-2 times a month,Not at all
82376,,,,
44872,Three times a week or more,Not at all,Three times a week or more,Not at all
87783,1-2 times a month,Not at all,1-2 times a month,Not at all
22199,,,,
47498,,,,
57325,1-2 times a week,Not at all,Not at all,Not at all
53776,,,,
58633,Less than 1-2 times a month,Not at all,Not at all,Not at all
27306,Three times a week or more,Not at all,Three times a week or more,1-2 times a week
80607,,,,
73143,,,,
35797,,,,
46365,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
30596,,,,
31045,,,,
74492,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
76791,1-2 times a week,Not at all,1-2 times a week,Not at all
21348,,,,
23287,1-2 times a week,Less than 1-2 times a month,Three times a week or more,Less than 1-2 times a month
14763,,,,
22066,,,,
64058,,,,
28247,Less than 1-2 times a month,Not at all,Not at all,Not at all
72873,,,,
67544,,,,
76810,,,,
51760,1-2 times a month,Three times a week or more,Three times a week or more,Not at all
72806,1-2 times a week,Not at all,1-2 times a month,Not at all
98766,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
23042,,,,
60997,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
36038,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
39146,Less than 1-2 times a month,Not at all,Not at all,Not at all
60963,Less than 1-2 times a month,Not at all,1-2 times a month,Not at all
67918,1-2 times a month,Not at all,1-2 times a month,Not at all
34467,1-2 times a week,Not at all,Three times a week or more,Not at all
42132,,,,
41268,,,,
90692,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
32668,1-2 times a month,Not at all,Not at all,Not at all
24079,,,,
59673,1-2 times a week,Not at all,1-2 times a week,Not at all
74899,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
48891,,,,
81807,,,,
77187,,,,
91176,,,,
22292,,,,
35011,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
76785,,,,
60903,,,,
10115,,,,
35416,1-2 times a week,Not at all,1-2 times a month,Not at all
89710,1-2 times a month,1-2 times a month,1-2 times a week,1-2 times a month
97596,Three times a week or more,Not at all,1-2 times a week,Not at all
39129,,,,
57359,1-2 times a month,1-2 times a week,Not at all,Not at all
17308,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
51851,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
35855,,,,
67334,,,,
60230,,,,
77838,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
37371,,,,
57292,,,,
66406,,,,
90447,,,,
56798,Three times a week or more,1-2 times a week,1-2 times a month,Less than 1-2 times a month
28827,,,,
23115,,,,
77872,1-2 times a week,Not at all,1-2 times a week,Less than 1-2 times a month
43114,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
72348,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
15707,,,,
45776,,,,
63122,,,,
27169,,,,
89607,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
59900,Not at all,Not at all,Not at all,Not at all
28254,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
56480,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
11128,,,,
47886,,,,
28820,Not at all,1-2 times a week,1-2 times a week,Not at all
35347,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
45641,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
25369,,,,
64572,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
31538,Three times a week or more,Not at all,1-2 times a week,1-2 times a month
73452,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
51475,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
28312,1-2 times a month,Not at all,1-2 times a month,Not at all
13486,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
56805,1-2 times a week,Three times a week or more,Three times a week or more,1-2 times a month
57697,,,,
54837,,,,
29718,1-2 times a week,1-2 times a week,Three times a week or more,Not at all
26800,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all
60493,Not at all,Not at all,Not at all,Not at all
52051,,,,
30972,,,,
47142,1-2 times a week,Not at all,Not at all,Not at all
69217,1-2 times a week,Not at all,Not at all,Not at all
69009,,,,
84390,,,,
74845,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all
90905,,,,
39659,,,,
62072,,,,
